"SystematicName","StandardName","briefDescription","description","chromID","ORF.start","ORF.end","chromStrand","IntronID","Introns.length","Introns.start","Introns.end","Introns.chromStrand","relative.start","relative.end"
"YAL001C","TFC3","Subunit of RNA polymerase III transcription initiation factor complex","Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (“extra TFIIIC)” sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes","chrI",147594,151166,-1,"S000000001_C",89,151007,151096,-1,71,160
"YAL003W","EFB1","Translation elongation factor 1 beta","Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants","chrI",142174,143160,1,"S000000003_C",365,142254,142619,1,81,446
"YAL030W","SNC1","Vesicle membrane receptor protein (v-SNARE)","Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication","chrI",87286,87752,1,"S000000028_C",112,87388,87500,1,103,215
"YBL018C","POP8","Subunit of both RNase MRP and nuclear RNase P","Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; relocalizes to the cytosol in response to hypoxia","chrII",185998,186474,-1,"S000000114_C",74,186353,186427,-1,48,122
"YBL026W","LSM2","Lsm (Like Sm) protein","Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress","chrII",170623,171038,1,"S000000122_C",127,170677,170804,1,55,182
"YBL027W","RPL19B","Ribosomal 60S subunit protein L19B","Ribosomal 60S subunit protein L19B; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal; homologous to mammalian ribosomal protein L19, no bacterial homolog; RPL19B has a paralog, RPL19A, that arose from the whole genome duplication","chrII",168423,169376,1,"S000000123_C",383,168425,168808,1,3,386
"YBL040C","ERD2","HDEL receptor","HDEL receptor; an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins","chrII",142112,142868,-1,"S000000136_C",96,142750,142846,-1,23,119
"YBL050W","SEC17","Alpha-SNAP cochaperone","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP","chrII",125125,126119,1,"S000000146_C",115,125155,125270,1,31,146
"YBL059C-A","CMC2","Protein involved in respiratory chain complex assembly or maintenance","Protein involved in respiratory chain complex assembly or maintenance; protein of the mitochondrial intermembrane space; contains twin Cx9C motifs that can form coiled coil-helix-coiled-coil helix fold","chrII",110125,110539,-1,"S000007488_C",84,110421,110505,-1,35,119
"YBL059W","IAI11","Putative mitochondrial protein of unknown function","Putative mitochondrial protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; IAI11 has a paralog, YER093C-A, that arose from the whole genome duplication","chrII",110594,111244,1,"S000000155_C",68,110880,110948,1,287,355
"YBL087C","RPL23A","Ribosomal 60S subunit protein L23A","Ribosomal 60S subunit protein L23A; homologous to mammalian ribosomal protein L23 and bacterial L14; RPL23A has a paralog, RPL23B, that arose from the whole genome duplication","chrII",59822,60739,-1,"S000000183_C",503,60194,60697,-1,43,546
"YBL091C-A","SCS22","Protein involved in regulation of phospholipid metabolism","Protein involved in regulation of phospholipid metabolism; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect the ER and plasma membrane (PM); regulates PM PI4P levels by controlling access of the Sac1p phosphatase to its substrate, PI4P; human VAP homolog; similar to D. melanogaster inturned protein; SWAT-GFP and mCherry fusion proteins localize to the cytosol; SCS22 has a paralog, SCS2, that arose from the whole genome duplication","chrII",46565,47180,-1,"S000007228_C",87,47059,47146,-1,35,122
"YBL111C","","Helicase-like protein encoded within the telomeric Y' element","Helicase-like protein encoded within the telomeric Y' element; relocalizes from mitochondrion to cytoplasm upon DNA replication stress","chrII",2907,5009,-1,"S000002151_C",98,4117,4215,-1,795,893
"YBR048W","RPS11B","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; RPS11B has a paralog, RPS11A, that arose from the whole genome duplication","chrII",332831,333812,1,"S000000252_C",510,332876,333386,1,46,556
"YBR062C","","Protein of unknown function that interacts with Msb2p","Protein of unknown function that interacts with Msb2p; may play a role in activation of the filamentous growth pathway","chrII",365976,366600,-1,"S000000266_C",81,366503,366584,-1,17,98
"YBR078W","ECM33","GPI-anchored protein involved in efficient glucose uptake","GPI-anchored protein involved in efficient glucose uptake; possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; phosphorylated in mitochondria; similar to Sps2p; ECM33 has a paralog, PST1, that arose from the whole genome duplication","chrII",393123,394742,1,"S000000282_C",329,393181,393510,1,59,388
