Gene,YN00_mean,YN00_median,NG86_mean,NG86_median,LWL85_mean,LWL85_median,LWL85m_mean,LWL85m_median,LPB93_mean,LPB93_median
YAL001C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YAL002W,0.455047482,0.388888889,0.325458979,0.256410256,0.244218723,0.181818182,0.320682986,0.25,0.343165453,0.272727273
YAL003W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YAL004W,1.156735641,1.160714286,0.845144611,0.845070423,2.968569882,3.333333333,0.532505916,0,5.506361676,6
YAL005C,0.034369191,0,0.027293594,0,0.010102446,0,0.012260992,0,0.012103037,0
YAL007C,0.327150835,0.403669725,0.237459425,0.291970803,0.201724365,0.2,0.374877031,0.25,0.344114434,0.25
YAL008W,0.285975856,0.251336898,0.222737316,0.193832599,0.190589865,0.166666667,0.329828212,0.347826087,0.284900476,0.222222222
YAL009W,0.194823249,0.171717172,0.158882975,0.141630901,0.112694624,0.083333333,0.141695854,0.09375,0.244243112,0.166666667
YAL010C,0.311360275,0.270114943,0.235317824,0.204651163,0.186478545,0.157894737,0.38366695,0.25,0.409740098,0.3
YAL011W,0.3107519,0.25203252,0.190777007,0.152542373,0.150126107,0.121212121,0.298243212,0.222222222,0.290327857,0.222222222
YAL012W,0.050719948,0,0.038847005,0,0.035598257,0,0.045362962,0,0.052530986,0
YAL013W,0.245436997,0.174603175,0.182714879,0.132075472,0.171336897,0.12,0.241183207,0.142857143,0.296109419,0.1875
YAL014C,0.61436625,0.448818898,0.415782778,0.303571429,0.353838295,0.277777778,0.767417728,0.666666667,0.698630652,0.5
YAL015C,0.168287089,0.116504854,0.124287852,0.084942085,0.109184167,0.081081081,0.100713885,0.071428571,0.18213528,0.105263158
YAL016C-A,0.482033143,0.460784314,0.351309334,0.333333333,0.320446277,0.307692308,0.380543039,0.157894737,0.495111696,0.375
YAL016C-B,0.904224294,0.725961538,0.626963466,0.501818182,0.36591827,0.333333333,0.105853017,0.081818182,0.701593612,0.243589744
YAL016W,0.114610336,0.037837838,0.086372408,0.030434783,0.065355036,0,0.045369194,0,0.092959986,0
YAL017W,0.278987194,0.175324675,0.210617366,0.136150235,0.128309302,0.076923077,0.20173857,0.125,0.22062702,0.142857143
YAL018C,0.21387854,0.137440758,0.1435699,0.091872792,0.108876463,0.064516129,0.077137598,0.039215686,0.247482905,0.117647059
YAL019W-A,0.708255944,0.60483871,0.574972723,0.482758621,0.431657127,0.272727273,0.462220127,0.3125,0.733110446,0.5
YAL019W,0.147733984,0.101449275,0.096888369,0.065292096,0.051411228,0.032258065,0.079438409,0.0625,0.081622458,0.055555556
YAL020C,0.377803632,0.345238095,0.27987314,0.252380952,0.234363531,0.225806452,0.321058167,0.28,0.335660844,0.304347826
YAL021C,0.219166894,0.126086957,0.141088416,0.082018927,0.111664497,0.064516129,0.15540757,0.083333333,0.182121766,0.095238095
YAL022C,0.124887348,0.08852459,0.095266018,0.067204301,0.05557627,0.033333333,0.135207227,0.045454545,0.147092165,0.083333333
YAL023C,0.169723148,0.1,0.12029408,0.074285714,0.067737905,0,0.122609008,0,0.131092656,0
YAL024C,0.221468431,0.171052632,0.162422055,0.127118644,0.095757896,0.086956522,0.175500453,0.153846154,0.16881885,0.153846154
YAL025C,0.08185723,0,0.050921581,0,0.035099755,0,0.135514422,0.021276596,0.067329257,0
YAL026C-A,0.85371167,0.688888889,0.683508791,0.556603774,0.556976968,0.458333333,0.494505561,0.5,1.159940744,1.111111111
YAL026C,0.164018069,0.109243697,0.137710976,0.095238095,0.048745734,0,0.120033279,0.083333333,0.099425891,0.0625
YAL027W,0.186151742,0.130671506,0.129048079,0.090809628,0.104255544,0.075949367,0.122409519,0.096774194,0.159107149,0.104651163
YAL028W,0.337116774,0.214285714,0.229454653,0.145390071,0.174535785,0.111111111,0.333792722,0.2,0.359721084,0.2
YAL029C,0.277835483,0.232804233,0.201644489,0.167883212,0.126257879,0.125,0.178921725,0.153846154,0.194890707,0.181818182
YAL030W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YAL031C,0.347871619,0.238095238,0.252882692,0.172932331,0.172617672,0.12,0.299082952,0.176470588,0.316901473,0.176470588
YAL031W-A,0.390464749,0.398280802,0.29289439,0.299651568,0.313389358,0.258064516,0.391375348,0.28,0.478893624,0.205882353
YAL032C,0.43305546,0.420168067,0.303134522,0.293814433,0.254450645,0.25,0.368480539,0.333333333,0.496076672,0.5
YAL033W,0.099017761,0,0.070574381,0,0.058229184,0,0.146024233,0,0.130847482,0
YAL034C-B,0.477347319,0.614754098,0.437414636,0.569230769,0.355890073,0.333333333,0.262591538,0.189655172,0.504016816,0.371428571
YAL034C,0.228073874,0.148148148,0.160140047,0.104761905,0.156979511,0.090909091,0.256367167,0.173913043,0.258413247,0.166666667
YAL034W-A,0.294890823,0.236467236,0.194427631,0.155925156,0.140520398,0.117647059,0.266958597,0.2,0.304462275,0.232945736
YAL035W,0.170808647,0.123076923,0.115789635,0.086065574,0.067678475,0.055555556,0.146119905,0.111111111,0.149849947,0.117647059
YAL036C,0.034431654,0,0.025937379,0,0.020518749,0,0.015618447,0,0.037996222,0
YAL037C-A,0.423959574,0.368421053,0.286679639,0.255855856,0.240385376,0.194029851,1.022538752,0.41025641,0.497204273,0.41025641
YAL037C-B,0.571291373,0.378378378,0.399044853,0.265306122,1.22988048,0.2,0.419395822,0.333333333,2.519294668,0.333333333
YAL037W,0.78680894,0.607655502,0.530427396,0.410071942,0.61733916,0.5,0.45939494,0.263157895,1.367690027,1
YAL038W,0.052660436,0,0.042604199,0,0.004089466,0,0.127417113,0,0.091160204,0
YAL039C,0.165388147,0.125,0.126360082,0.095808383,0.112808031,0.085714286,0.087055944,0.0625,0.126831309,0.096774194
YAL040C,0.374285914,0.222222222,0.252119615,0.15,0.182370123,0.103448276,0.301862025,0.166666667,0.328880563,0.166666667
YAL041W,0.122175859,0.075,0.07980766,0.050505051,0.049285538,0.027027027,0.066834093,0.035714286,0.07084909,0.023255814
YAL042C-A,0.386239454,0.393617021,0.310035807,0.318181818,0.284118641,0.272727273,0.197882455,0.173913043,0.552557823,0.571428571
YAL042W,0.067977118,0.048034934,0.048877142,0.034364261,0.018423308,0,0.027667571,0,0.023720008,0
YAL043C,0.178749966,0.111111111,0.120965986,0.075342466,0.066819009,0.03125,0.121855765,0.058823529,0.120757287,0.058823529
YAL044C,0.046779034,0,0.034466837,0,0.026561194,0,0.054536042,0,0.053072333,0
YAL044W-A,0.185792118,0.134375,0.12819724,0.092417062,0.09881413,0.068181818,0.143354855,0.153846154,0.215672833,0.115384615
YAL045C,0.591371791,0.771186441,0.429362435,0.56,0.513056436,0.533333333,0.566469601,0.4,0.793413581,0.428571429
YAL046C,0.09455969,0,0.074499126,0,0.059349141,0,0.081260377,0,0.085738208,0
YAL047C,0.268284543,0.2,0.158750926,0.118466899,0.146201574,0.107142857,0.222652294,0.2,0.261756383,0.172413793
